Dataglove Experiment Tue Sep 25 17:00:17 2018
USB0 DG5U_Right RightHand	1

event	var	l_thumb	l_index	l_middle	l_ring	l_little	r_thumb	r_index	r_middle	r_ring	r_little	time
glove	1	0	0	0	0	0	3678	3918	4066	3719	3641	403160
glove	1	0	0	0	0	0	3677	3917	4065	3719	3641	403180
glove	1	0	0	0	0	0	3678	3916	4065	3719	3641	403200
glove	1	0	0	0	0	0	3678	3916	4065	3719	3641	403220
glove	1	0	0	0	0	0	3678	3916	4065	3719	3641	403240
glove	1	0	0	0	0	0	3678	3915	4065	3719	3642	403260
glove	1	0	0	0	0	0	3679	3915	4065	3718	3642	403280
glove	1	0	0	0	0	0	3679	3915	4065	3718	3642	403300
glove	1	0	0	0	0	0	3680	3915	4065	3718	3642	403320
glove	1	0	0	0	0	0	3680	3915	4065	3718	3642	403340
glove	1	0	0	0	0	0	3680	3914	4065	3718	3643	403360
glove	1	0	0	0	0	0	3679	3914	4065	3718	3643	403380
glove	1	0	0	0	0	0	3679	3914	4065	3717	3643	403400
glove	1	0	0	0	0	0	3680	3914	4065	3718	3644	403420
glove	1	0	0	0	0	0	3679	3914	4065	3718	3645	403440
glove	1	0	0	0	0	0	3679	3914	4065	3718	3645	403460
glove	1	0	0	0	0	0	3678	3914	4065	3718	3646	403480
glove	1	0	0	0	0	0	3678	3914	4065	3718	3645	403500
glove	1	0	0	0	0	0	3678	3914	4065	3718	3645	403520
glove	1	0	0	0	0	0	3678	3914	4065	3718	3646	403540
glove	1	0	0	0	0	0	3677	3914	4065	3719	3646	403560
glove	1	0	0	0	0	0	3678	3914	4065	3718	3647	403580
glove	1	0	0	0	0	0	3678	3914	4065	3718	3646	403600
glove	1	0	0	0	0	0	3678	3914	4065	3719	3646	403620
glove	1	0	0	0	0	0	3678	3914	4065	3719	3647	403640
glove	1	0	0	0	0	0	3678	3914	4065	3719	3647	403660
glove	1	0	0	0	0	0	3677	3914	4065	3719	3648	403680
glove	1	0	0	0	0	0	3677	3914	4065	3719	3647	403700
glove	1	0	0	0	0	0	3677	3914	4065	3719	3648	403720
glove	1	0	0	0	0	0	3677	3914	4065	3719	3647	403740
glove	1	0	0	0	0	0	3678	3914	4065	3719	3648	403760
glove	1	0	0	0	0	0	3677	3914	4065	3719	3648	403780
glove	1	0	0	0	0	0	3677	3914	4065	3719	3647	403800
glove	1	0	0	0	0	0	3677	3914	4065	3719	3648	403820
glove	1	0	0	0	0	0	3677	3914	4065	3719	3648	403840
glove	1	0	0	0	0	0	3677	3914	4065	3719	3648	403860
glove	1	0	0	0	0	0	3677	3914	4065	3719	3648	403880
glove	1	0	0	0	0	0	3677	3914	4065	3719	3648	403900
glove	1	0	0	0	0	0	3677	3914	4065	3719	3648	403920
glove	1	0	0	0	0	0	3678	3914	4065	3719	3648	403940
glove	1	0	0	0	0	0	3677	3914	4065	3720	3648	403960
glove	1	0	0	0	0	0	3677	3914	4065	3719	3648	403980
glove	1	0	0	0	0	0	3677	3914	4065	3719	3648	404000
glove	1	0	0	0	0	0	3677	3914	4065	3719	3648	404020
glove	1	0	0	0	0	0	3677	3914	4065	3719	3648	404040
